sex,ds,year,historical_y,yhat,yhat_lower,yhat_upper,is_forecast
Male,1997-01-01,1997,1.6304972026138187,1.6498920043299006,1.611260213051722,1.68715572666599,0
Male,1998-01-01,1998,1.7437352920711267,1.7320580696695693,1.6927500932503143,1.767955408796273,0
Male,1999-01-01,1999,1.8103728725594976,1.814224134809576,1.7732854373732365,1.8506651442130142,0
Male,2000-01-01,2000,1.9127743877756525,1.896390198635446,1.8610299678112263,1.9340568240910485,0
Male,2001-01-01,2001,1.9861593623733078,1.9787722384361088,1.9406530633377916,2.014573895516909,0
Male,2002-01-01,2002,2.0691212194021578,2.060929186070454,2.0224550408560416,2.09840674108459,0
Male,2003-01-01,2003,2.12955670515094,2.1430861340428593,2.1043294770109857,2.180422449042245,0
Male,2004-01-01,2004,2.216157780967248,2.2252430811922257,2.188784047447603,2.260915152380665,0
Male,2005-01-01,2005,2.2932616040702802,2.307625115379886,2.2702307847865595,2.344413609033027,0
Male,2006-01-01,2006,2.382335590091501,2.389782062284304,2.350519934159204,2.4271436820783276,0
Male,2007-01-01,2007,2.488072182970925,2.471939009315924,2.432720194216527,2.5101796476330733,0
Male,2008-01-01,2008,2.5571730370886816,2.5540804698859203,2.515382353500862,2.59374271801138,0
Male,2009-01-01,2009,2.6157001826722737,2.606024142296693,2.571904719870008,2.644286991345757,0
Male,2010-01-01,2010,2.663908809588833,2.657711842959231,2.622340570044374,2.69338124366844,0
Male,2011-01-01,2011,2.705378575704854,2.6913561061698665,2.6530548614209697,2.7307599395797033,0
Male,2012-01-01,2012,2.7263894041307757,2.7249816631805,2.688754819216118,2.762245929835828,0
Male,2013-01-01,2013,2.760117670334954,2.7586993449227277,2.721414621033358,2.795498046638574,0
Male,2014-01-01,2014,2.740340319192096,2.7923249026609196,2.7546286237586624,2.8296088140785196,0
Male,2015-01-01,2015,2.8689472440480115,2.845576415465801,2.80859416687446,2.882947215689737,0
Male,2016-01-01,2016,2.8520578150649047,2.8988279286506,2.8585740125282073,2.934048841505942,0
Male,2017-01-01,2017,3.000630013362011,2.952225336230532,2.910519499772152,2.9906432159414926,0
Male,2018-01-01,2018,2.9732255309301836,3.005476849254235,2.9637508748326074,3.0437054015446288,0
Male,2019-01-01,2019,3.1147873128961434,3.0587283622779378,3.0230778456758096,3.096787350753384,0
Male,2020-01-01,2020,3.0706762620202857,3.1119798753016408,3.0751030535532538,3.1525657636857,0
Male,2021-01-01,2021,3.2323450721895544,3.1653772828815727,3.1289663956655565,3.2053551088822236,0
Male,2022-01-01,2022,3.168349972076255,3.2186287959052757,3.1836546622628887,3.2572311532294633,0
Male,2023-01-01,2023,,3.2718803089289783,3.234382287835374,3.3125225540894414,1
Male,2024-01-01,2024,,3.325131821952681,3.2856128952711923,3.3650177473606226,1
Male,2025-01-01,2025,,3.3785292295326137,3.3373856135819118,3.42113303958674,1
Male,2026-01-01,2026,,3.4317807425563163,3.3879157965295246,3.479064353143895,1
Male,2027-01-01,2027,,3.4850322555800193,3.4305634778268104,3.5389009026539746,1
Male,2028-01-01,2028,,3.538283768603722,3.4774748117000938,3.603753041994489,1
Male,2029-01-01,2029,,3.591681176183654,3.5203984923182094,3.660273561004663,1
Male,2030-01-01,2030,,3.644932689207357,3.5637528234229747,3.7311252827156394,1
Female,1997-01-01,1997,1.581597572342878,1.6107659450730551,1.5782599234327805,1.6424765565324184,0
Female,1998-01-01,1998,1.7068895470541259,1.6785155200448725,1.6484042856189007,1.7095370430382626,0
Female,1999-01-01,1999,1.754947748152479,1.746255725349545,1.7161176288724262,1.7749633274979524,0
Female,2000-01-01,2000,1.819586525588554,1.8139287942560274,1.7820715380329244,1.8438287653494296,0
Female,2001-01-01,2001,1.8944572039117549,1.8817792139408183,1.8517951029494981,1.9119168393624966,0
Female,2002-01-01,2002,1.9364444204580247,1.9494442506381453,1.9183380766223443,1.9810030683494795,0
Female,2003-01-01,2003,2.003877206444221,2.017109306584109,1.986954228094467,2.048828729052379,0
Female,2004-01-01,2004,2.0826079251694045,2.088349624487612,2.059022790952693,2.118145130172618,0
Female,2005-01-01,2005,2.1486899089819484,2.1692420553096095,2.1381418352695714,2.1971272575211285,0
Female,2006-01-01,2006,2.254156868673942,2.2499533538102288,2.21964997554243,2.280578660748077,0
Female,2007-01-01,2007,2.3447417158311556,2.330664651274004,2.3002863102726963,2.362550455580463,0
Female,2008-01-01,2008,2.419388043533061,2.4113593946542453,2.3803181605282897,2.4416356816461073,0
Female,2009-01-01,2009,2.487433209687482,2.4874265036832006,2.4577789745234178,2.517750800353237,0
Female,2010-01-01,2010,2.537964775680236,2.5379577650023473,2.5105668435232285,2.567906765847389,0
Female,2011-01-01,2011,2.592651497578613,2.5825703346193367,2.55210872697013,2.61393080566479,0
Female,2012-01-01,2012,2.6409890855933096,2.613025523868481,2.5802274875042346,2.6428944043214195,0
Female,2013-01-01,2013,2.619460849298451,2.643558025654289,2.6137590862215836,2.675279941576877,0
Female,2014-01-01,2014,2.6524709822698096,2.6740071059374424,2.641405034684341,2.7038188787121977,0
Female,2015-01-01,2015,2.729142359207671,2.714024981317506,2.679698274442594,2.7454238475034463,0
Female,2016-01-01,2016,2.7204898610603516,2.7540428578318346,2.720174668222236,2.786523553321194,0
Female,2017-01-01,2017,2.8574358054767943,2.8037583667212913,2.7738454538246176,2.832103663835192,0
Female,2018-01-01,2018,2.8187530961985674,2.8533380408870066,2.8239717184875532,2.885525082741974,0
Female,2019-01-01,2019,2.9223305898475926,2.902917715052722,2.874219900424805,2.936333015901711,0
Female,2020-01-01,2020,2.9016713541349213,2.9524973892184376,2.9213034286374873,2.982994592792252,0
Female,2021-01-01,2021,3.0405251167447247,3.0022128981078944,2.970573747254464,3.032916099623739,0
Female,2022-01-01,2022,3.0517985455736394,3.0517925722736097,3.019233526115373,3.0840394316199076,0
Female,2023-01-01,2023,,3.101372246439325,3.0726711821130537,3.1320412933116093,1
Female,2024-01-01,2024,,3.1509519206050403,3.117537133040296,3.1856360677315934,1
Female,2025-01-01,2025,,3.2006674294944975,3.1617964908664713,3.23826027000935,1
Female,2026-01-01,2026,,3.2502471036602127,3.2071172725151156,3.2930275713446626,1
Female,2027-01-01,2027,,3.2998267778259285,3.250950816754789,3.3521875169319277,1
Female,2028-01-01,2028,,3.349406451991643,3.2889778837898045,3.419249555296915,1
Female,2029-01-01,2029,,3.3991219608811,3.3292532701841107,3.48434847190947,1
Female,2030-01-01,2030,,3.448701635046816,3.3588494977488397,3.5442680894081398,1
